Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
CAHE7,,Carex hendersonii L.H. Bailey,Henderson's sedge
CAHI9,,Castilleja hispida Benth.,harsh Indian paintbrush
CAHY3,,Carex hyalinolepis Steud.,shoreline sedge
CAIL2,,Carya illinoinensis (Wangenh.) K. Koch,pecan
CAIN11,,Carex interior L.H. Bailey,inland sedge
CAIN12,,Carex intumescens Rudge,greater bladder sedge
CAIN2,,Callirhoe involucrata (Torr. & A. Gray) A. Gray,purple poppymallow
CAIN4,,Calophyllum inophyllum L.,Alexandrian laurel
CAIN5,,Capparis indica (L.) Druce,linguam
CAJO2,,Carex joorii L.H. Bailey,cypress swamp sedge
CAKO2,,Carex kobomugi Ohwi,Japanese sedge
CALA16,,Carex lacustris Willd.,hairy sedge
CALA21,,Carya laciniosa (Michx. f.) G. Don,shellbark hickory
CALE10,,Carex leptalea Wahlenb.,bristlystalked sedge
CALE11,,Carex leptonervia (Fernald) Fernald,nerveless woodland sedge
CALE4,,Caltha leptosepala DC.,white marsh marigold
CALE8,,Carex lenticularis Michx.,lakeshore sedge
CALEL3,,Carex lenticularis Michx. var. lipocarpa (T. Holm) L.A. Standl.,Kellogg's sedge
CALI,,Carex livida (Wahlenb.) Willd.,livid sedge
CALI7,,Carex limosa L.,mud sedge
CALO,,Calamovilfa longifolia (Hook.) Scribn.,prairie sandreed
CALU4,,Carex lupulina Muhl. ex Willd.,hop sedge
CALU5,,Carex lurida Wahlenb.,shallow sedge
CALU7,,Carex luzulina Olney,woodrush sedge
CALY2,,Calycocarpum lyonii (Pursh) A. Gray,cupseed
CALY3,,Carex lyngbyei Hornem.,Lyngbye's sedge
CAMA13,,Carex mariposana L.H. Bailey ex Mack.,Mariposa sedge
CAMA5,,Calochortus macrocarpus Douglas,sagebrush mariposa lily
CAME6,,Carex mertensii Prescott ex Bong.,Mertens' sedge
CAMI7,,Carex microptera Mack.,smallwing sedge
CAMO11,,Carex molesta Mack. ex Bright,troublesome sedge
CAMO32,,Canadanthus modestus (Lindl.) G.L. Nesom,giant mountain aster
CAMO83,,Castanea mollissima Blume,Chinese chestnut
CAMU9,,Carex muskingumensis Schwein.,Muskingum sedge
CAMY,,Carya myristiciformis (Michx. f.) Nutt.,nutmeg hickory
CANE2,,Carex nebrascensis Dewey,Nebraska sedge
CANO,,Carex normalis Mack.,greater straw sedge
CANO9,,Callitropsis nootkatensis (D. Don) Oerst. ex D.P. Little,Alaska cedar
CANO9,CHNO,Chamaecyparis nootkatensis (D. Don) Spach,
CAOB3,,Carex obnupta L.H. Bailey,slough sedge
CAOL,,Cardamine oligosperma Nutt.,little western bittercress
CAOV2,,Carya ovata (Mill.) K. Koch,shagbark hickory
CAPA14,,Carex pachystachya Cham. ex Steud.,chamisso sedge
CAPA23,,Carica papaya L.,papaya
CAPA5,,Caltha palustris L.,yellow marsh marigold
CAPA52,,Callitriche palustris L.,vernal water-starwort
CAPA53,,Carphephorus paniculatus (J.F. Gmel.) Herb.,hairy chaffhead
CAPE3,,Cardamine pensylvanica Muhl. ex Willd.,Pennsylvania bittercress
CAPO4,,Carex polymorpha Muhl.,variable sedge
CAPR12,,Carex prasina Wahlenb.,drooping sedge
CAPR5,,Carex praegracilis W. Boott,clustered field sedge
CAPR9,,Carex projecta Mack.,necklace sedge
CAPU9,,Castanea pumila (L.) Mill.,chinquapin
CAQU2,,Camassia quamash (Pursh) Greene,small camas
CARA2,,Campsis radicans (L.) Seem. ex Bureau,trumpet creeper
CARA4,,Carex ramenskii Kom.,Ramensk's sedge
CARA6,,Carex raynoldsii Dewey,Raynolds' sedge
CARO5,,Carex rossii Boott,Ross' sedge
CARO6,,Carex rostrata Stokes,beaked sedge
CARU,,Calamagrostis rubescens Buckley,pinegrass
CASA10,,Carex saxatilis L.,rock sedge
CASA4,,Capparis sandwichiana DC.,native caper
CASC10,,Carex scirpoidea Michx.,northern singlespike sedge
CASC11,,Carex scoparia Schkuhr ex Willd.,broom sedge
CASC12,,Carex scopulorum T. Holm,mountain sedge
CASC13,,Carex scabrata Schwein.,eastern rough sedge
CASC5,,Camassia scilloides (Raf.) Cory,Atlantic camas
CASE5,,Castilleja sessiliflora Pursh,downy paintedcup
CASH2,,Carex shortiana Dewey,Short's sedge
CASI2,,Carex simulata Mack.,analogue sedge
CASP3,,Carex sparganioides Muhl. ex Willd.,bur-reed sedge
CASP8,,Catalpa speciosa (Warder) Warder ex Engelm.,northern catalpa
CASQ2,,Carex squarrosa L.,squarrose sedge
CAST5,,Carex stipata Muhl. ex Willd.,awlfruit sedge
CAST6,,Carex straminea Willd. ex Schkuhr,eastern straw sedge
CAST8,,Carex stricta Lam.,upright sedge
CASTI3,,Calamagrostis stricta (Timm) Koeler ssp. inexpansa (A. Gray) C.W. Greene,northern reedgrass
CASTS5,,Calamagrostis stricta (Timm) Koeler ssp. stricta,slimstem reedgrass
CASU8,,Carex subspathacea Wormsk. ex Hornem.,Hoppner's sedge
CATE11,,Cassiope tetragona (L.) D. Don,white arctic mountain heather
CATE3,,Carex tenera Dewey,quill sedge
CATH2,,Caulophyllum thalictroides (L.) Michx.,blue cohosh
CATO4,,Carex torta Boott ex Tuck.,twisted sedge
CATO6,,Carya tomentosa (Lam.) Nutt.,mockernut hickory
CATO6,CAAL27,"Carya alba (L.) Nutt., nom. utique rej.",
CATR10,,Carex trisperma Dewey,threeseeded sedge
CATR7,,Carex tribuloides Wahlenb.,blunt broom sedge
CATR8,,Carex trichocarpa Muhl. ex Willd.,hairyfruit sedge
CATY,,Carex typhina Michx.,cattail sedge
CAUT,,Carex utriculata Boott,Northwest Territory sedge
CAVE6,,Carex vesicaria L.,blister sedge
CAVI5,,Carex viridula Michx.,little green sedge
CAVU2,,Carex vulpinoidea Michx.,fox sedge
CAWI,,Canella winterana (L.) Gaertn.,wild cinnamon
CEAM,,Ceanothus americanus L.,New Jersey tea
CECA4,,Cercis canadensis L.,eastern redbud
CECAT,,Cercis canadensis L. var. texensis (S. Watson) M. Hopkins,Texas redbud
CECO,,Ceanothus cordulatus Kellogg,whitethorn ceanothus
CECU,,Ceanothus cuneatus (Hook.) Nutt.,buckbrush
CEDE2,,Cedrus deodara (Roxb.) G. Don f.,Deodar cedar
CEDE4,,Ceratophyllum demersum L.,coon's tail
CEEH,,Celtis ehrenbergiana (Klotzsch) Liebm.,spiny hackberry
CEEH,CEPA8,Celtis pallida Torr.,
CEEX,,Centaurium exaltatum (Griseb.) W. Wight ex Piper,desert centaury
CEFL4,,Ceanothus ×flexilis Greene ex McMinn [cuneatus × prostratus],flexible ceanothus
CEFR,,Ceanothus fresnensis Dudley ex Abrams,Fresno mat
CEGR,,Ceanothus greggii A. Gray,desert ceanothus
CEIN3,,Ceanothus integerrimus Hook. & Arn.,deerbrush
CELA,,Celtis laevigata Willd.,sugarberry
CELAR,,Celtis laevigata Willd. var. reticulata (Torr.) L.D. Benson,netleaf hackberry
CELE3,,Cercocarpus ledifolius Nutt.,curl-leaf mountain mahogany
CEME,,Ceanothus megacarpus Nutt.,bigpod ceanothus
CEMO2,,Cercocarpus montanus Raf.,alderleaf mountain mahogany
CEOC,,Celtis occidentalis L.,common hackberry
CEOC2,,Cephalanthus occidentalis L.,common buttonbush
CEOD,,Cedrela odorata L.,Spanish cedar
CEOR7,,Celastrus orbiculatus Thunb.,Oriental bittersweet
CEPA2,,Ceanothus papillosus Torr. & A. Gray,wartleaf ceanothus
CEPE2,,Ceiba pentandra (L.) Gaertn.,kapoktree
CEPR,,Ceanothus prostratus Benth.,prostrate ceanothus
CESA,,Ceanothus sanguineus Pursh,redstem ceanothus
CESC,,Celastrus scandens L.,American bittersweet
CESC9,,Cecropia schreberiana Miq.,pumpwood
CEVE,,Ceanothus velutinus Douglas ex Hook.,snowbrush ceanothus
CHANA2,,Chamerion angustifolium (L.) Holub ssp. angustifolium,fireweed
CHAR6,,Chrysophyllum argenteum Jacq.,bastard redwood
CHCA2,,Chamaedaphne calyculata (L.) Moench,leatherleaf
CHCHC4,,Chrysolepis chrysophylla (Douglas ex Hook.) Hjelmqvist var. chrysophylla,giant chinquapin
CHDO,,Chaenactis douglasii (Hook.) Hook. & Arn.,Douglas' dustymaiden
CHDU,,Choisya dumosa (Torr.) A. Gray,Mexican orange
CHFA2,,Chamaecrista fasciculata (Michx.) Greene,partridge pea
CHGA2,,Chloris gayana Kunth,Rhodes grass
CHJA2,,Chaenomeles japonica (Thunb.) Lindl. ex Spach,Maule's quince
CHLA,,Chamaecyparis lawsoniana (A. Murray bis) Parl.,Port Orford cedar
CHLA5,,Chasmanthium latifolium (Michx.) Yates,Indian woodoats
CHLA6,,Chasmanthium laxum (L.) Yates,slender woodoats
CHLI2,,Chilopsis linearis (Cav.) Sweet,desert willow
CHMI2,,Chamaebatiaria millefolium (Torr.) Maxim.,desert sweet
CHRU,,Chenopodium rubrum L.,red goosefoot
CHSE11,,Chrysolepis sempervirens (Kellogg) Hjelmqvist,bush chinquapin
CHSE2,,Chasmanthium sessiliflorum (Poir.) Yates,longleaf woodoats
CHTH2,,"Chamaecyparis thyoides (L.) Britton, Sterns & Poggenb.",Atlantic white cedar
CHUM,,Chimaphila umbellata (L.) W.P.C. Barton,pipsissewa
CHVI3,,Chionanthus virginicus L.,white fringetree
CHVI8,,Chrysothamnus viscidiflorus (Hook.) Nutt.,yellow rabbitbrush
CIAL,,Circaea alpina L.,small enchanter's nightshade
CIAR2,,Cinna arundinacea L.,sweet woodreed
CICH,,Cibotium chamissoi Kaulf.,Chamisso's manfern
CIDO,,Cicuta douglasii (DC.) J.M. Coult. & Rose,western water hemlock
CIFO,,Cirsium foliosum (Hook.) DC.,elk thistle
CIGL,,Cibotium glaucum (Sm.) Hook. & Arn.,hapu'u
CIIN,,Cichorium intybus L.,chicory
CILA2,,Cinna latifolia (Trevis. ex Goepp.) Griseb.,drooping woodreed
CIPA3,,Citrus ×paradisi Macfad. (pro sp.) [maxima × sinensis],grapefruit
CISI3,,Citrus ×sinensis (L.) Osbeck (pro sp.) [maxima × reticulata],sweet orange
CISI3,CISI,"Citrus sinensis (L.) Osbeck, database artifact",
CISP3,,Citharexylum spinosum L.,spiny fiddlewood
CISP3,CIFR,Citharexylum fruticosum L.,
CLAL3,,Clethra alnifolia L.,coastal sweetpepperbush
CLBO3,,Clintonia borealis (Aiton) Raf.,bluebead
CLGR,,Clarkia gracilis (Piper) A. Nelson & J.F. Macbr.,slender clarkia
CLIS,,Cleome isomeris Greene,bladderpod spiderflower
CLKE,,Cladrastis kentukea (Dum. Cours.) Rudd,Kentucky yellowwood
CLLI2,,Clematis ligusticifolia Nutt.,western white clematis
CLLU2,,Cleome lutea Hook.,yellow spiderflower
CLMAJ,,Cladium mariscus (L.) Pohl ssp. jamaicense (Crantz) Kük.,Jamaica swamp sawgrass
CLPE,,Claytonia perfoliata Donn ex Willd.,miner's lettuce
CLPL,,Cleome platycarpa Torr.,golden spiderflower
CLPU,,Clarkia pulchella Pursh,pinkfairies
CLSE,,Cleome serrulata Pursh,Rocky Mountain beeplant
CLSIS,,Claytonia sibirica L. var. sibirica,Siberian springbeauty
CLVI5,,Clematis virginiana L.,devil's darning needles
COAC2,,Cotoneaster acutifolius Turcz.,Peking cotoneaster
COAL,,Cordia alliodora (Ruiz & Pav.) Oken,Spanish elm
COAL2,,Cornus alternifolia L. f.,alternateleaf dogwood
COAM2,,Cornus amomum Mill.,silky dogwood
COAM3,,Corylus americana Walter,American hazelnut
COAP3,,Cotoneaster apiculatus Rehder & E.H. Wilson,cranberry cotoneaster
COAR2,,Coffea arabica L.,Arabian coffee
COAR6,,Colutea arborescens L.,bladder senna
COAR9,,Cojoba arborea (L.) Britton & Rose,wild tamarind
COCA13,,Cornus canadensis L.,bunchberry dogwood
COCA15,,Corydalis caseana A. Gray,Sierra fumewort
COCA5,,Conyza canadensis (L.) Cronquist,Canadian horseweed
COCO13,,Conoclinium coelestinum (L.) DC.,blue mistflower
COCO6,,Corylus cornuta Marshall,beaked hazelnut
COCOC,,Corylus cornuta Marshall var. californica (A. DC.) Sharp,California hazelnut
COCY,,Coelorachis cylindrica (Michx.) Nash,cylinder jointtail grass
CODI5,,Commelina diffusa Burm. f.,climbing dayflower
CODI8,,Coccoloba diversifolia Jacq.,tietongue
CODR,,Cornus drummondii C.A. Mey.,roughleaf dogwood
COEL2,,Colubrina elliptica (Sw.) Briz. & Stern,soldierwood
COFL2,,Cornus florida L.,flowering dogwood
COFL3,,Corydalis flavula (Raf.) DC.,yellow fumewort
COFO,,Cornus foemina Mill.,stiff dogwood
COFR2,,Cordyline fruticosa (L.) A. Chev,tiplant
COHO80,,Cotoneaster horizontalis Decne.,rockspray cotoneaster
COIN16,,Cotoneaster integerrimus Medik.,cotoneaster
COLA12,,Cordia laevigata Lam.,smooth manjack
COLA12,CONI,Cordia nitida Vahl ex West,
COLA5,,Coreopsis lanceolata L.,lanceleaf tickseed
COMA21,,Cornus mas L.,Cornelian cherry
COMA5,,Cordylanthus maritimus Nutt. ex Benth.,saltmarsh bird's-beak
COMA7,,Convallaria majalis L.,European lily of the valley
CONU,,Cocos nucifera L.,coconut palm
CONU4,,Cornus nuttallii Audubon ex Torr. & A. Gray,Pacific dogwood
COPA3,,Collinsia parviflora Lindl.,maiden blue eyed Mary
COPE80,,Comptonia peregrina (L.) J.M. Coult.,sweet fern
COPU,,Coccoloba pubescens L.,grandleaf seagrape
CORA,,Coleogyne ramosissima Torr.,blackbrush
CORA5,,Cordylanthus ramosus Nutt. ex Benth.,bushy bird's beak
CORA6,,Cornus racemosa Lam.,gray dogwood
CORU,,Cornus rugosa Lam.,roundleaf dogwood
CORU3,,Coelorachis rugosa (Nutt.) Nash,wrinkled jointtail grass
COSA4,,Cotoneaster salicifolius Franch.,cotoneaster
COSE4,,Cortaderia selloana (Schult. & Schult. f.) Asch. & Graebn.,Uruguayan pampas grass
COSEO,,Cornus sericea L. ssp. occidentalis (Torr. & A. Gray) Fosberg,western dogwood
COSES,,Cornus sericea L. ssp. sericea,redosier dogwood
COSU2,,Cordia subcordata Lam.,kou
COSW,,Coccoloba swartzii Meisn.,Swartz's pigeonplum
COTI3,,Coreopsis tinctoria Nutt.,golden tickseed
COUV,,Coccoloba uvifera (L.) L.,seagrape
COVI3,,Commelina virginica L.,Virginia dayflower
CRAC2,,Crepis acuminata Nutt.,tapertip hawksbeard
CRAE,,Crataegus aestivalis (Walter) Torr. & A. Gray,may hawthorn
CRAN6,,Crataegus ×anomala Sarg. (pro sp.) [intricata × mollis],Arnold hawthorn
CRCR2,,Crataegus crus-galli L.,cockspur hawthorn
CRCU,,Crescentia cujete L.,common calabash tree
CRDO2,,Crataegus douglasii Lindl.,black hawthorn
CRER,,Crataegus erythropoda Ashe,cerro hawthorn
CRJA3,,Cryptomeria japonica (L. f.) D. Don,Japanese cedar
CRJU,,Crotalaria juncea L.,sunn hemp
CRLI5,,Crescentia linearifolia Miers,higuerito
CRMA5,,Crataegus marshallii Eggl.,parsley hawthorn
CRMO3,,Crataegus monogyna Jacq.,oneseed hawthorn
CRMO4,,Crepis modocensis Greene,Modoc hawksbeard
CROC,,Crepis occidentalis Nutt.,largeflower hawksbeard
CRPH,,Crataegus phaenopyrum (L. f.) Medik.,Washington hawthorn
CRPO6,,Crescentia portoricensis Britton,higuero de sierra
CRRU3,,Crepis runcinata (James) Torr. & A. Gray,fiddleleaf hawksbeard
CRSP2,,Crotalaria spectabilis Roth,showy rattlebox
CRTR5,,Cressa truxillensis Kunth,spreading alkaliweed
CRVI2,,Crataegus viridis L.,green hawthorn
CUAM,,Cupania americana L.,wild ackee
CUFO,,Cucurbita foetidissima Kunth,Missouri gourd
CYAC2,,Cyperus acuminatus Torr. & Hook. ex Torr.,tapertip flatsedge
CYAR,,Cyathea arborea (L.) Sm.,West Indian treefern
CYBI6,,Cyperus bipartitus Torr.,slender flatsedge
CYCO,,Cyperus compressus L.,poorland flatsedge
CYDA,,Cynodon dactylon (L.) Pers.,Bermudagrass
CYER2,,Cyperus erythrorhizos Muhl.,redroot flatsedge
CYES,,Cyperus esculentus L.,yellow nutsedge
CYFL,,Cyperus flavescens L.,yellow flatsedge
CYHA,,Cyperus haspan L.,haspan flatsedge
CYLA3,,Cyperus lancastriensis Porter ex A. Gray,manyflower flatsedge
CYOB2,,Cydonia oblonga Mill.,quince
CYOD,,Cyperus odoratus L.,fragrant flatsedge
CYPO,,Cyperus polystachyos Rottb.,manyspike flatsedge
CYPS,,Cyperus pseudovegetus Steud.,marsh flatsedge
CYRA,,Cyrilla racemiflora L.,swamp titi
CYSC4,,Cytisus scoparius (L.) Link,Scotch broom
CYST,,Cyperus strigosus L.,strawcolored flatsedge
DACA12,,Damasonium californicum Torr. ex Benth.,California damsonium
DACA3,,Danthonia californica Bol.,California oatgrass
DACAC,,Dalea candida Michx. ex Willd. var. candida,white prairie clover
DACO,,Danthonia compressa Austin,flattened oatgrass
DAEX,,Dacryodes excelsa Vahl,candletree
DAFO,,Dalea formosa Torr.,featherplume
DAFRF,,Dasiphora fruticosa (L.) Rydb. ssp. floribunda (Pursh) Kartesz,shrubby cinquefoil
DAFRF,DAFL3,Dasiphora floribunda (Pursh) Raf.,
DAGL,,Dactylis glomerata L.,orchardgrass
DAIN,,Danthonia intermedia Vasey,timber oatgrass
DAPUP,,Dalea purpurea Vent. var. purpurea,purple prairie clover
DAUN,,Danthonia unispicata (Thurb.) Munro ex Macoun,onespike danthonia
DAWH2,,Dasylirion wheeleri S. Watson,common sotol
DEAN,,Delphinium andersonii A. Gray,Anderson's larkspur
DEBE2,,Deschampsia beringensis Hultén,Bering's tufted hairgrass
DECE,,Deschampsia cespitosa (L.) P. Beauv.,tufted hairgrass
DECE,DECA18,"Deschampsia caespitosa (L.) P. Beauv., orth. var.",
DEDA,,Deschampsia danthonioides (Trin.) Munro,annual hairgrass
DEEL,,Deschampsia elongata (Hook.) Munro,slender hairgrass
DEFL,,Deschampsia flexuosa (L.) Trin.,wavy hairgrass
DEGL3,,Delphinium glaucum S. Watson,Sierra larkspur
DEGR3,,Deutzia gracilis Siebold & Zucc.,slender pride of Rochester
DEHE9,,Desmodium heterophyllum (Willd.) DC.,variable-leaf ticktrefoil
DEIL,,Desmanthus illinoensis (Michx.) MacMill. ex B.L. Rob. & Fernald,Illinois bundleflower
DEIN2,,Desmodium intortum (Mill.) Urb.,greenleaf ticktrefoil
DEIN3,,Desmodium incanum DC.,zarzabacoa comun
DEPA6,,Desmodium paniculatum (L.) DC.,panicledleaf ticktrefoil
DEPE80,,Desmodium perplexum B.G. Schub.,perplexed ticktrefoil
DERE,,Delonix regia (Bojer ex Hook.) Raf.,royal poinciana
DETO,,Desmodium tortuosum (Sw.) DC.,dixie ticktrefoil
DETR4,,Desmodium triflorum (L.) DC.,threeflower ticktrefoil
DEVE,,Decodon verticillatus (L.) Elliott,swamp loosestrife
DEVI3,,Desmanthus virgatus (L.) Willd.,wild tantan
DIAC,,Dichanthelium aciculare (Desv. ex Poir.) Gould & C.A. Clark,needleleaf rosette grass
DIAN,,Dichanthium annulatum (Forssk.) Stapf,Kleberg's bluestem
DIAR5,,Dichanthium aristatum (Poir.) C.E. Hubbard,Angleton bluestem
DICA8,,Digitaria californica (Benth.) Henr.,Arizona cottontop
DICI,,Digitaria ciliaris (Retz.) Koeler,southern crabgrass
DICL,,Dichanthelium clandestinum (L.) Gould,deertongue
DICO2,,Dichanthelium commutatum (Schult.) Gould,variable panicgrass
DIER,,Digitaria eriantha Steud.,digitgrass
DIFO,,Dicentra formosa (Haw.) Walp.,Pacific bleeding heart
DIFR6,,Ditrysinia fruticosa (W. Bartram) Govaerts & Frodin,Gulf Sebastian-bush
DIFR6,SEFR,Sebastiania fruticosa (W. Bartram) Fernald,
DILA8,,Dichanthelium latifolium (L.) Gould & C.A. Clark,broadleaf rosette grass
DILO,,Diervilla lonicera Mill.,northern bush honeysuckle
DIOV,,Dichanthelium ovale (Elliott) Gould & C.A. Clark,eggleaf rosette grass
DIPU,,Digitalis purpurea L.,purple foxglove
DISC2,,Dichanthelium scabriusculum (Elliott) Gould & C.A. Clark,woolly rosette grass
DISC3,,Dichanthelium scoparium (Lam.) Gould,velvet panicum
DISP,,Distichlis spicata (L.) Greene,saltgrass
DIVI5,,Diospyros virginiana L.,common persimmon
DOBI,,Downingia bicornuta A. Gray,doublehorn calicoflower
DOLA,,Douglasia laevigata A. Gray,cliff dwarf-primrose
DOLA2,,Downingia laeta (Greene) Greene,Great Basin calicoflower
DOME,,Dodecatheon meadia L.,pride of Ohio
DOPU,,Dodecatheon pulchellum (Raf.) Merr.,darkthroat shootingstar
DOVI,,Dodonaea viscosa (L.) Jacq.,Florida hopbush
DRAM,,Dracopis amplexicaulis (Vahl) Cass.,clasping coneflower
DRCR4,,Dryopteris cristata (L.) A. Gray,crested woodfern
DRDR,,Dryas drummondii Richardson ex Hook.,Drummond's mountain-avens
DRFR2,,Dracaena fragrans (L.) Ker Gawl.,fragrant dracaena
DROC,,Dryas octopetala L.,eightpetal mountain-avens
DUAR3,,Dulichium arundinaceum (L.) Britton,three-way sedge
ECCO2,,Echinochloa colona (L.) Link,jungle rice
ECFR,,Echinochloa frumentacea Link,billion-dollar grass
ECPA,,Echinacea pallida (Nutt.) Nutt.,pale purple coneflower
ECPR,,Eclipta prostrata (L.) L.,false daisy
ECPU,,Echinacea purpurea (L.) Moench,eastern purple coneflower
ECWA,,Echinochloa walteri (Pursh) A. Heller,coast cockspur grass
EHCA,,Ehrharta calycina Sm.,perennial veldtgrass
ELAC,,Eleocharis acicularis (L.) Roem. & Schult.,needle spikerush
ELAN,,Elaeagnus angustifolia L.,Russian olive
ELCA3,,Elephantopus carolinianus Raeusch.,Carolina elephantsfoot
ELCA4,,Elymus canadensis L.,Canada wildrye
ELCA7,,Elodea canadensis Michx.,Canadian waterweed
ELCE,,Eleocharis cellulosa Torr.,Gulf Coast spikerush
ELCO,,Elaeagnus commutata Bernh. ex Rydb.,silverberry
ELCO2,,Eleocharis compressa Sull.,flatstem spikerush
ELEL5,,Elymus elymoides (Raf.) Swezey,squirreltail
ELEQ,,Eleocharis equisetoides (Elliott) Torr.,jointed spikesedge
ELGL,,Elymus glaucus Buckley,blue wildrye
ELLAL,,Elymus lanceolatus (Scribn. & J.G. Sm.) Gould ssp. lanceolatus,thickspike wheatgrass
ELOB2,,Eleocharis obtusa (Willd.) Schult.,blunt spikerush
ELOV,,Eleocharis ovata (Roth) Roem. & Schult.,ovate spikerush
ELPA3,,Eleocharis palustris (L.) Roem. & Schult.,common spikerush
ELPA5,,"Eleocharis parvula (Roem. & Schult.) Link ex Bluff, Nees & Schauer",dwarf spikerush
ELPY,,Elliottia pyroliflora (Bong.) S.W. Brim & P.F. Stevens,copperbush
ELQU,,Eleocharis quadrangulata (Michx.) Roem. & Schult.,squarestem spikerush
ELRE4,,Elymus repens (L.) Gould,quackgrass
ELRI,,Elymus riparius Wiegand,riverbank wildrye
ELRO2,,Eleocharis rostellata (Torr.) Torr.,beaked spikerush
ELSI,,Elymus sibiricus L.,Siberian wildrye
ELTE,,Eleocharis tenuis (Willd.) Schult.,slender spikerush
ELTR7,,Elymus trachycaulus (Link) Gould ex Shinners,slender wheatgrass
ELTRT,,Elymus trachycaulus (Link) Gould ex Shinners ssp. trachycaulus,slender wheatgrass
ELUM,,Elaeagnus umbellata Thunb.,autumn olive
ELVI3,,Elymus virginicus L.,Virginia wildrye
EMNI,,Empetrum nigrum L.,black crowberry
ENFA,,Encelia farinosa A. Gray ex Torr.,brittlebush
ENPE4,,Engelmannia peristenia (Raf.) Goodman & C.A. Lawson,Engelmann's daisy
EPCO,,Epilobium coloratum Biehler,purpleleaf willowherb
EPGL,,Epilobium glaberrimum Barbey,glaucus willowherb
EPLE2,,Epilobium leptophyllum Raf.,bog willowherb
EPNE,,Ephedra nevadensis S. Watson,Nevada jointfir
EPTO,,Ephedra torreyana S. Watson,Torrey's jointfir
EPTR,,Ephedra trifurca Torr. ex S. Watson,longleaf jointfir
EPVI,,Ephedra viridis Coville,mormon tea
EQAR,,Equisetum arvense L.,field horsetail
EQFL,,Equisetum fluviatile L.,water horsetail
EQLA,,Equisetum laevigatum A. Braun,smooth horsetail
EQSY,,Equisetum sylvaticum L.,woodland horsetail
ERAN6,,Eriophorum angustifolium Honck.,tall cottongrass
ERBO,,Erodium botrys (Cav.) Bertol.,longbeak stork's bill
ERCA17,,Eriogonum capistratum Reveal,hidden buckwheat
ERCA6,,Eriodictyon californicum (Hook. & Arn.) Torr.,California yerba santa
ERCAC,,Erysimum capitatum (Douglas ex Hook.) Greene var. capitatum,sanddune wallflower
ERCO4,,Erigeron compositus Pursh,cutleaf daisy
ERCU2,,Eragrostis curvula (Schrad.) Nees,weeping lovegrass
ERDE5,,Eriocaulon decangulare L.,tenangle pipewort
EREA,,Erigeron eatonii A. Gray,Eaton's fleabane
EREL5,,Eriogonum elatum Douglas ex Benth.,tall woolly buckwheat
ERFA2,,Eriogonum fasciculatum Benth.,Eastern Mojave buckwheat
ERFI2,,Erigeron filifolius (Hook.) Nutt.,threadleaf fleabane
ERGR8,,Eriophorum gracile W.D.J. Koch,slender cottongrass
ERHY,,"Eragrostis hypnoides (Lam.) Britton, Sterns & Poggenb.",teal lovegrass
ERIN,,Eragrostis intermedia Hitchc.,plains lovegrass
ERLE,,Eragrostis lehmanniana Nees,Lehmann lovegrass
ERLI,,Erigeron linearis (Hook.) Piper,desert yellow fleabane
ERMA4,,Eriogonum marifolium Torr. & A. Gray,marumleaf buckwheat
ERMI4,,Eriogonum microthecum Nutt.,slender buckwheat
ERNAN5,,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. nauseosa,rubber rabbitbrush
ERNI2,,Eriogonum niveum Douglas ex Benth.,snow buckwheat
EROP,,Eremochloa ophiuroides (Munro) Hack.,centipede grass
ERPE3,,Erigeron peregrinus (Banks ex Pursh) Greene,subalpine fleabane
ERPE5,,Erigeron petrophilus Greene,rockloving erigeron
ERPH,,Erigeron philadelphicus L.,Philadelphia fleabane
ERPI7,,Ericameria pinifolia (A. Gray) H.M. Hall,pinebush
ERPO3,,Eriochloa polystachya Kunth,Caribgrass
ERSA11,,Erythrina sandwicensis O. Deg.,wili wili
ERSP,,Eragrostis spectabilis (Pursh) Steud.,purple lovegrass
ERSP7,,Eriogonum sphaerocephalum Douglas ex Benth.,rock buckwheat
ERST3,,Erigeron strigosus Muhl. ex Willd.,prairie fleabane
ERST4,,Eriogonum strictum Benth.,Blue Mountain buckwheat
ERSU,,Eragrostis superba Peyr.,Wilman lovegrass
ERTH4,,Eriogonum thymoides Benth.,thymeleaf buckwheat
ERTR3,,Eragrostis trichodes (Nutt.) Alph. Wood,sand lovegrass
ERUM,,Eriogonum umbellatum Torr.,sulphur-flower buckwheat
ERVA,,Eragrostis variabilis (Gaudich.) Steud.,kawelu
ERVA7,,Erythrina variegata L.,tiger's claw
ERVI8,,Eriophorum virginicum L.,tawny cottongrass
ERWR,,Eriogonum wrightii Torr. ex Benth.,bastardsage
ESCA2,,Eschscholzia californica Cham.,California poppy
EUAL13,,Euonymus alatus (Thunb.) Siebold,burningbush
EUAL13,EUAL8,"Euonymus alata (Thunb.) Siebold, orth. var.",
EUAM9,,Euonymus americanus L.,bursting-heart
EUAM9,EUAM7,"Euonymus americana L., orth. var.",
EUAT5,,Euonymus atropurpureus Jacq.,burningbush
EUAT5,EUAT3,"Euonymus atropurpurea Jacq., orth. var.",
EUBR13,,Eucephalus brickellioides (Greene) G.L. Nesom,brickellbush aster
EUBU5,,Euonymus bungeanus Maxim.,winterberry euonymus
EUBU5,EUBU6,"Euonymus bungeanum Maxim., orth. var.",
